id,quiz,option1,option2,option3,option4,answer,cite
1,たんぱく質は筋肉作りに役立ちます。多く含まれている食品はどれでしょう？,麻婆豆腐,りんご,きゅうり,コーヒー,たんぱく質は筋肉作りに役立ち、それは大豆や麻婆豆腐に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
2,たんぱく質は筋肉作りに役立ちます。多く含まれている食品はどれでしょう？,鶏の唐揚げ,バナナ,人参,トマト,たんぱく質は筋肉作りに役立ち、それは鶏のから揚げや鯖の味噌煮に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
3,たんぱく質は免疫力を高める機能があります。多く含まれている食品はどれでしょう？,卵,みかん,もやし,砂糖,たんぱく質は免疫力を高める機能があり、それは卵や大豆製品に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
4,たんぱく質は免疫力を高める機能があります。多く含まれている食品はどれでしょう？,豚の生姜焼き,コーヒー,こんにゃく,りんご,たんぱく質は免疫力を高める機能があり、それは豚の生姜焼きや麻婆豆腐に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
5,たんぱく質は体内のホルモンや酵素を作る役割があります。多く含まれている食品はどれでしょう？,ヨーグルト,うどん,砂糖,きゅうり,たんぱく質は体内のホルモンや酵素を作る役割があり、それはチーズやヨーグルトに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
6,たんぱく質は体内のホルモンや酵素を作る役割があります。多く含まれている食品はどれでしょう？,牛乳,トマト,ハチミツ,バナナ,たんぱく質は体内のホルモンや酵素を作る役割があり、それは牛乳やチーズに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
7,たんぱく質は鶏の唐揚げや卵などに多く含まれます。タンパク質の主な機能はどれでしょう？,筋肉作り,骨の強化,血糖値の上昇,脂肪の分解,タンパク質は筋肉や臓器、 肌、髪、 爪、 体内のホルモンや酵素、 免疫物質などを作る！,https://www.bosei-navi.mhlw.go.jp/
8,炭水化物はエネルギー源として重要な栄養素です。多く含まれている食品はどれでしょう？,パン,豚肉,紅茶,まだい,炭水化物はエネルギー源として重要で、それはご飯やパンに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
9,炭水化物はエネルギー源として重要な栄養素です。多く含まれている食品はどれでしょう？,パスタ,ラード,にしん,牛肉,炭水化物はエネルギー源として重要で、それはパスタやうどんに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
10,炭水化物は体内で糖質に変わり、脳の働きを支える役割がある。多く含まれている食品はどれでしょう？,果物,鶏肉（ささみ、ゆで）,さくらえび,ウーロン茶,炭水化物は体内で糖質に変わり、脳の働きを支える役割があり、それは果物やいも類に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
11,炭水化物は体内で糖質に変わり、脳の働きを支える役割がある。多く含まれている食品はどれでしょう？,バナナ,牛肉,ウーロン茶,まだい,炭水化物は体内で糖質に変わり、脳の働きを支える役割があり、それはバナナやパンに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
12,炭水化物は身体活動のエネルギー源になります。多く含まれている食品はどれでしょう？,はちみつ,ごま油,ほうじ茶,ラード,炭水化物は身体活動のエネルギー源となり、それは砂糖やはちみつに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
13,炭水化物は身体活動のエネルギー源になります。多く含まれている食品はどれでしょう？,おにぎり,かんぱち,かつお,さくらえび,炭水化物は身体活動のエネルギー源となり、それはおにぎりやパンに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
14,炭水化物はおにぎりやパンなどに多く含まれます。炭水化物の主な機能はどれでしょう？,エネルギー源,免疫機能の強化,骨の強化,PMS症状の改善,炭水化物は体内で消化されて糖質になり、エネルギー源として最も重要な栄養素である！,https://www.bosei-navi.mhlw.go.jp/
15,ビタミンAは目の正常な機能の維持に役立ちます。多く含まれている食品はどれでしょう？,レバー,マーガリン,乳酸菌飲料,かりんとう,ビタミンAは目の正常な機能の維持に役立ち、それはレバーやうなぎに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
16,ビタミンAは目の正常な機能の維持に役立ちます。多く含まれている食品はどれでしょう？,人参,あわび,とん汁,みたらし団子,ビタミンAは目の正常な機能の維持に役立ち、それは人参や大葉に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
17,ビタミンAは目の健康維持に役立ちます。多く含まれている食品はどれでしょう？,うなぎ,みたらし団子,きんぴらごぼう,あわび,ビタミンAは目の健康維持に役立ち、それはうなぎや焼き海苔に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
18,ビタミンAは皮膚や粘膜の正常保持に役立ちます。多く含まれている食品はどれでしょう？,チーズ,ごま油,昆布だし,乳酸菌飲料,ビタミンAは皮膚や粘膜の正常保持に役立ち、それはチーズや卵に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
19,ビタミンAは皮膚や粘膜の正常保持に役立ちます。多く含まれている食品はどれでしょう？,シソ,かりんとう,トマトケチャップ,ごま油,ビタミンAは皮膚や粘膜の正常保持に役立ち、それは焼き海苔やシソに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
20,ビタミンAは皮膚や粘膜の健康を保つために役立ちます。多く含まれている食品はどれでしょう？,レバニラ,鶏卵,料理酒,マーガリン,ビタミンAは皮膚や粘膜の健康を保つために役立ち、それはレバニラや卵焼きに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
21,ビタミンAはレバーや卵に多く含まれます。ビタミンAの主な機能はどれでしょう？,目の健康維持,PMS症状の改善,骨の強化,筋肉増強,ビタミンAは目の正常な機能の維持、皮膚や粘膜の正常維持,https://www.bosei-navi.mhlw.go.jp/
22,ビタミンB1は神経機能を正常に保つために役立ちます。多く含まれている食品はどれでしょう？,大豆,いちご（乾）,乾燥わかめ（水戻し）,乾しいたけ,ビタミンB1は神経機能を正常に保つために役立ち、それは豚肉や大豆に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
23,ビタミンB1は神経機能を正常に保つために役立ちます。多く含まれている食品はどれでしょう？,玄米,麦茶,梅干し,キウイフルーツ,ビタミンB1は神経機能を正常に保つために役立ち、それはウナギの蒲焼や玄米や全粒粉などに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
24,ビタミンB1は精神状態の改善と疲労回復に役立ちます。多く含まれている食品はどれでしょう？,枝豆,サイダー,さつま揚げ,たけのこ,ビタミンB1は精神状態の改善と疲労回復に役立ち、それは豚生姜焼きや枝豆に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
25,ビタミンB1は精神状態の改善と疲労回復に役立ちます。多く含まれている食品はどれでしょう？,雑穀ご飯,しょうが,焼き竹輪,いちご,ビタミンB1は精神状態の改善と疲労回復に役立ち、それは玄米や雑穀ご飯に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
26,ビタミンB1は代謝を高める役割がある。多く含まれている食品はどれでしょう？,サラダチキン,紅茶,かに風味かまぼこ,梅干し,ビタミンB1は代謝を高める役割があり、それはサラダチキンや麻婆豆腐に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
27,ビタミンB1は代謝を高める役割がある。多く含まれている食品はどれでしょう？,豚肉,発酵バター（有塩）,切干しだいこん,さつま揚げ,ビタミンB1は代謝を高める役割があり、それは豚肉や玄米に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
28,ビタミンB1は豚肉や大豆に多く含まれている。ビタミンB1の主な機能はどれでしょう？,疲労回復,血液をサラサラにする,視力の維持,免疫機能の強化,ビタミンB1は、神経機能を正常に保ち、 精神状態を改善し、 疲労回復や代謝を高める効果もある！,https://www.bosei-navi.mhlw.go.jp/
29,ビタミンB2は偏頭痛を緩和するのに役立ちます。多く含まれている食品はどれでしょう？,豚レバー,マシュマロ,たまねぎ,れんこん,ビタミンB2は神経を落ち着かせたり、偏頭痛を緩和するために役立ち、それは豚レバーや鶏レバーに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
30,ビタミンB2は神経を落ち着かせるのに役立ちます。多く含まれている食品はどれでしょう？,うなぎ,ラムネ,梅酒,マシュマロ,ビタミンB2は神経を落ち着かせたり、偏頭痛を緩和するために役立ち、それは牛レバーやうなぎに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
